names,stars,dates,reviews
Justin L. Hudson,5,2020-09-01,Not the prettiest app but does more then the prettier ones and that matters most. Good job prefer function any day!
Michael Muindi,4,2020-11-30,Good for every farmer
Danny Leshman,5,2018-09-25,A must for every plant owner!
ace marquez,1,2021-03-16,I cant sign up.😢
Divyesh Kothari,5,2019-06-04,is it available for Indian AgroClimate?
A Google user,5,2019-02-12,best agriculture APK
VOYAGER FF,5,2021-02-16,"Take 5 stars , you deserve"
faezeh Fatemi,1,2019-04-12,Not run in my phone
Shri Vlogs,5,2020-07-24,This app is a boon for me
Estifanos Tsegaye,4,2021-11-22,helpful
Shaik Basha,5,2021-07-18,ok
RNold G.,3,2021-05-14,Usefull
Sammy Kevo,5,2022-02-25,How to open data
zaffer sajad,4,2021-04-21,Excellent response
Muhamad Zain,5,2020-10-22,excellent
Ankita Mishra,4,2020-08-23,Good
Dharmesh Patel,1,2020-07-24,Bakvas app
Samer Ahmed,5,2019-07-08,good app
Rupinder Singh,5,2019-04-26,It's an excellent app. give you the best diagnosis and proper guidelines for treatment.
Tzvi Shir,5,2019-04-15,Wonderful app!
A Google user,4,2018-12-20,Really awesome
A Google user,5,2018-11-01,Thank you
A Google user,5,2018-10-20,Nice aoo
kennedy mwangangi,5,2021-06-20,N Iíó0 pop pop pop up some
A Google user,5,2018-10-26,Good!!!!!!!
Ramaarao Vanapalli,5,2018-10-23,Great app
A Google user,5,2018-10-30,Very useful
지연정,5,2018-11-01,😙
Lim Chao,5,2018-10-30,Great app
Rituja Deore,5,2022-03-23,Wonderful App !!! I am able to purchase all the products which are not available in my area Very original product and wide variety My yield has increased after started using bighaat Seeds I will suggest all farmers to use BigHaat for better farming
Parth Tripathi,5,2022-02-19,"After trying many other application me and my farmer cluster shifted on Bighaat application and it has been a wonderful experience since then. Agronomy support provided by them is top notch. We have received good quality seeds, pesticides, fungicide on time on our door step at farms. They have many interesting feature in application and they are very useful to farmers. Just give a simple miscall on there helpline number and a certified agri expert will call you instantly."
SUBHAN BASHA,5,2022-03-26,"useful app for farmers ,thanks to bighaat for providing all information from sowing to harvesting of crops."
Naresh Ahirwar,5,2022-02-24,Very clear and User friendly UI and easy to understand Application. Thanks to Bighaat team for such great product..
Developer ignited,5,2022-02-04,I'm very glad that I found this app. This literally made everything easy for me. Kudos to the team behind this App!
