names,stars,dates,reviews
Rituja Deore,5,2022-03-23,Wonderful App !!! I am able to purchase all the products which are not available in my area Very original product and wide variety My yield has increased after started using bighaat Seeds I will suggest all farmers to use BigHaat for better farming
Parth Tripathi,5,2022-02-19,"After trying many other application me and my farmer cluster shifted on Bighaat application and it has been a wonderful experience since then. Agronomy support provided by them is top notch. We have received good quality seeds, pesticides, fungicide on time on our door step at farms. They have many interesting feature in application and they are very useful to farmers. Just give a simple miscall on there helpline number and a certified agri expert will call you instantly."
SUBHAN BASHA,5,2022-03-26,"useful app for farmers ,thanks to bighaat for providing all information from sowing to harvesting of crops."
Naresh Ahirwar,5,2022-02-24,Very clear and User friendly UI and easy to understand Application. Thanks to Bighaat team for such great product..
Developer ignited,5,2022-02-04,I'm very glad that I found this app. This literally made everything easy for me. Kudos to the team behind this App!
mahaveer jakkannavar,1,2022-01-21,Very bad experience with a 1st order And items are very costly than outside market Some items about to expire such items they are selling
Chandra Tejni,5,2022-02-04,"One stop app for everything related to agriculture products , and it's very informative"
Navneet Sharma,5,2022-02-04,Very user friendly app for farmers and everything is avaliable.
RAVINDER SINGH,1,2022-02-02,"Not working properly ,I placed an order it was not packed for 5,7 days, Every time Otp asks for login, whenever you open the app , 0 rating apps"
Anuj Jafrain,5,2022-02-10,Very good app very easy to use and helpful for farmers Fully satisfied experience
Maseel Jafar,5,2022-02-04,Easy to understand as there is language preference
adari srinivasrao,5,2022-03-16,"Such a great experience i have ever seen,it is very help full to us."
Biswajit Kalita,5,2022-03-06,"Dear team,, Good quality Seeds, fartilizer ,pasticied & implement ,I don't have any regret I have been buying products for 7 years i like it,, sush platform are very rare kisan Vedika is the most liked, l recommend them"
anushka kaushik,5,2022-02-08,I really like it!!!!! Nice app.... Easy to use. Anyone looking for any agri. Based app use it.👍
vignesh vikki,5,2022-03-26,"Great effort by the team, tremendous work"
Sagar Awati,5,2022-03-23,It will be help full for farmers they can get the crop related information quickly and effectively Good app 👍
reebz maria,1,2022-02-09,"Just posted a complaint on consumer forum. I ordered product from bighaat,my payment got debited but still no delivery of product. I messaged on WhatsApp no then they reordered again.They said I will receive product within 5-6 days but I didn't got till now. Very soon I am planning to come to your office also planning to take legal action on your company."
Velaga Ram Ganesh,5,2022-02-18,Very good products and services are also good ☺️
NIKITHA REDDY,5,2022-03-23,This is great app all product like agriculture seed pesticides fungicide implement and fertilizers products It is wonderful platform to farmer
Madhu Kumar,2,2020-09-10,"This app really really needs lot of work , not a user friendly APP below are the list of things which you can add refine filter option provide Filter with various combination provide add to cart option when we are viewing through the filter , i dont have to click the product and then i see the ""add to cart"" and now i have to hit back and come again"
Lavanya Hemanth Kumar,5,2022-01-19,Timely delivery and best delivery 👍🏻
Ashok Rapaka,5,2022-03-14,"Very nice appa,all products available here"
A Google user,4,2019-03-28,"When I try to open this app by directly clicking on app it opens but doesn't show anything, it's just a blank page but when I search in Google chrome and then open the app from there then I can browse the app. Please fix this bug. Other than that I am haapy with the app for its huge product pool. I ordered a few varieties of ridge gourd though I am yet to receive them. Will post after planting and harvesting them."
Prajwal Urkude,5,2022-02-08,Very user friendly app for the farmers.
Surya Surya,5,2022-02-18,Good products and services
Hemasundar Marri,5,2022-02-04,Very good app.. Easy to order.
Veeramani Kothuri,5,2022-02-18,These products are very useful and services are good 👍
