names,stars,dates,reviews
Sam N,4,2019-10-09,"Great app, simple to use and clutter free interface. Are there any plans for curve guidance based on the last pass? Not all fields have straight edges here! Would also be good if you didn't have to create the field first, as when working as a contractor, you may go to fields you haven't been to before and not have time to set it up."
Gus L,1,2021-08-02,"Very frustrating. First of all, the highlight of the implement width does not show anywhere when you open the saved track. Only the line followed by the tractor on top of the other lines for the background map. Second when you try to select a track and share it as KML nothing happens. the share button for the tracks does not work. I can only share the full map but not the tracks that are the most imports thing for me for my spraying records. With this two issues the app is useless for me."
Jay Martin,4,2019-07-03,This app has proved very useful for spray and fertilizer applications for me. My work is involved with GPS mapping in the utility industry and I've worked with numerous GIS softwares. This app is good and I would love to see an option to add problem points to save in the field maps and/or the saved tracks to note rocks or sink holes for hay cutting. This would make it a 5 star rating! I've loaded the app for two of my hay buddies so far. Thank you!
Steve Rawlings,4,2019-12-07,"Good little app. Still using the free version as it does most of what I require. Allow curves and I will be paying for the Premium version... Clear and easy to read in use on a tractor and quite intuitive... which is rare. 😉 I use a Garmin Glo for a better level of accuracy, as the phone or tablet GPS only is not really accurate enough for fertiliser spreading. The app is not suitable without Egnos or RTK for spraying purposes. Would love to see a basic GIS mapping option and Records."
Steven Waller,5,2021-03-31,Excellent app. Still learning more as I go has lots of good features. Has good accuracy with phone gps in a Motorola but will buy an external gps soon to improve accuracy a little. Works amazing spraying a spreading pasture and hay fields always within the 1 feet as I use for my overlap. If you have had your phones gps turned off turn it on for a few minutes before begining to get a good results.
John Mann,3,2019-06-24,"Great potential but not there yet. Fields are created before navigating. Thats ok. But when those fields are navigated another day, the GPS signal is offset and the program leaves no way to fix it. Needs to be a way to correct GPS signal by going to a known spot and then telling the program where you really are. Also, Lightbar is hard to use. Need to be able to change resolution and size of Lightbar. Could add a poor man's rtk by using another android at a known location to send a data stream."
Francis Charette,4,2019-06-02,"all right, after using it for a bit, I was wondering why it didn't match any of my measuring wheel calcs that i walked around the fields with. it understated surface area by over 15% in some fields, up to 30% in the steepest one I have. Reason is, It doesn't do a 3d calculation of surface area that includes elevations! So basically just a rough calculation of flat surface areas. Makes a huge diff when spraying/planting... Maybe incorporate in next update? Thanks"
Brian Unrau,5,2019-05-20,"like it. has some nice features that I don't even have on my purchased navigation system that costs several thousand dollars, like being able to see the field on satellite image and being able to mark in field boundaries manually without driving around the field. thanks for building this product!"
A Google user,5,2019-01-17,"first time using GPS guidance glad I went with a free app instead of shelling out for a budget light bar setup, I assume it does the same thing, and at first wasn't impressed cos trying to follow the arrows is hard,,,, but after going back to a visual aid primary and then the GPS as an aid on top of that, it's fantastic,"
Ted Landy,3,2019-08-16,"Potentially a useful app for field spraying. Annoying how app always opens with map focused on some irrelevant location hundred of KMs away.  Needs a third option ""A,B point = None"" for those of us who don't need  lightbar guidance & just want to ""display sprayed area"" on the field. Unfortunately it will not connect to an external GPS on my Samsung S9+ running Android v9. App runs, but will not stay connected to Bad ELF BT GPS. Not obvious in the main interface which GPS is in use, therefore first you know of it dropping external GPS is when the steering commands go all weird. Be great if u can fix compatibility with late model Samsung phone and external GPS's."
Drew Tetz,1,2020-05-26,"When i first dowloaded this app i woukd have given it a 10 out of 5. It was awesome. The reason i have rated it this low is now when i go to open it does not load and crashes. I have uninstalled, then re-booted phone, and re-installled. Works once and crashes. I will gladly give another chance and use if bugs can be sorted out - fingers crossed. Just to add, i have not removed yet. Hoping to see a fix before i have to take that action🤷‍♂️🤔"
Brice Christians,4,2019-08-28,"Good app and just started using it today. I had a couple of issues. One field didn't highlight after I saved it, tried everything I could think of. Also when I forwarded to my brother the saved fields he said the acres of each didn't show on his end. Plan to keep using it for now."
I am Second,4,2019-09-03,This app does a great job and is very useful for my field spraying. My only doing on it is I wish the tutorial was more descriptive or there was a really good video on how to set it up. I stumbled through it but figured it out. They recommend the Garmin GLO GPS bluetooth to use with it. Yes - it's worth it!
