names,stars,dates,reviews
Avinash Madhukar,5,2022-03-24,"One of the best app and I am using it from many years I have learnt many new thing for my home garden, if you are passionate about gardening then you should definitely try this application ."
Wendy Smilek,1,2022-01-24,"I paid for one year subscription and then I renewed and agreed to a year beyond that, but when I got my new phone it won't let me access any of the information that I saved on hundreds of plants from last summer. So I say don't waste your money they'll try to trap you in!!!"
RafiqN Khan,4,2022-01-29,"Nice and excellent apps of my first day experience... But needs little more addition.. Choices should be more than 10 crops included.. However, great feeling in using this apps. The founder/planner must be rewarded both in this world and also after leaving this world..."
Asim Kumar De,4,2022-02-17,"Plantix is most helpful for the beginners those are not at all experience in firming also ! Iam very glad to say that l will have the era which I was seeking badly. I hope, it will help me a lot."
Marirose Mazza,3,2020-05-11,"Seems like it has the potential to be a really great app. Visually appealing and cool features! Also user friendly. However I was a bit disappointed when I saw how limited the crop options were. Most of the options most likely would not be grown by someone at home for personal use. I was only able to choose beans and tomatoes, but I also have broccoli, kale, radish, spinach, parsley and basil in my yard. Will upgrade to 5 stars when more options available!"
Chathoth Sathish,4,2022-01-28,"Nice and effective ap. By uploading the photograph of the affected plant, one could get suggestions of what insectide to use and in what quantity. The highlight is that they give suggestions for using natural inseticides also."
Paramveer,5,2022-02-05,This app is very helpful. I really liked the feature wherein you get to know which disease is affecting the plant just by clicking the picture.
nimesh bhagat,4,2022-02-10,Interesting application. Description of the diseases are in detail. Remedies are in both organically and inorganically.
Mohamed Eissa,4,2022-02-24,Great experience bur need to cover more crops. Always need more definition tools for the aphids
Suguna Savitha,5,2022-02-18,Very helpful for the crops fertilizers and bugs problems and I recommend it to each and every plant lover.
Victor Joseph,4,2022-02-25,A very good app. Every farmers should maintain it to get the benefits.
PUKHRAJ KHILERY,5,2022-02-15,Very useful for every farmer and guidance about all kind of disease control .
Ali raza Khan,3,2022-02-21,appreciable effort from developer and their team to build this masterpiece app i like this app its usefull to get diagnose the problem with plant while taking picture of your plant
TITUS CARLOS,5,2022-03-12,The best app ever.!! Excellent work keep it up.
Kaos Wizard,5,2021-12-02,"Nice app, I'm new to this game and I have noticed some problems with crops on the land. Plantix seems to be getting it right and helping to clear the problems. Thanks for this app, keep up the hard work guys and girls! 💚"
Srinivas Golem,4,2021-10-30,"Today I updated app afterwards I am unable to open notifications in community, whenever I click on notification symbol then app automatically closes itself. Everytime it is happening so fix this bug."
Random Vid,4,2021-11-12,"One of the best agri and horti app, explore more in this app using all the beneficial tools cultivation tips helps me a lot, but for certain crops like BANANA , CABBAGE there's no cultivation tips. Please add cultivation tips for all the Major crops."
Ramkrishna pandey,3,2022-01-11,Good app 3as there is always some room for improvement......like you can add upvote feature in reply section so that if an scholar person agrees with someone they don't have to make a new comment also the photo of the scholar also should be shown beside the reply
Lakhan patidar,4,2022-03-14,Great efforts 👌 ....keep it up and keep it free 😄
Never watched before,5,2022-02-06,Really good app.. awesome materials are there .. instantly diagnosis of diseases are really appreciable.. Just need to work on the picture taking process 🤠.. Overall it's too nice 💙💙
Pradeepta Swain,5,2022-03-11,Very Helpfull application and very easy to use
