names,stars,dates,reviews
Oydsteven Gomes,5,2022-03-07,"Excellent, something different from normal App, user friendly,"
Kl Nandeesha,5,2022-01-13,"Excellent App helps in identification of weeds, pest and diseases for students as well as to the farmers which enables to take up appropriate management."
Dharambir Dabra,5,2022-01-15,Work perfectly and good farming app which can detects almost every cereals diseases.
Chinmaye KL,5,2022-01-13,"Very good, helpful and reliable application to the farmers"
Sharath Bairineni,5,2022-02-06,"An excellent app, easy to use, very useful for farmers👏👏"
Sheetal Thakur,5,2021-10-22,"Very good app detecting diseases and pests, nature of weeds.... I will recommend this app to farmers and students as well"
Sairam Katukam,5,2022-02-10,Good app for Students as well as farmers. I wish all the very best for Mr.Pradeep Chowdhary who is very scruitinizingly studying on the subject matter and researching on the fields .
विकास Vikas गरूड Garud,1,2020-06-30,"Did not work at all for me. I tried to upload a photo of an affected Rose leaf and for 5 days it keeps saying ""Sending the picture"" AND ""Picture has been sent and analysed"". There is nothing more for 5 days. Sent a mail to developers, it remains unreplied for last 4 days. Uninstalling!"
Sonal Patel,5,2022-01-15,"Its a very good application we can use it for early detection of disease, pest and leaf damage."
Jessica Bell,5,2021-04-24,"Wow so cool, I actually forgot what plants I planted in what pots because it's my first year and there is always something we forget todo lol. Well it told me my plants were tomatoes and I am so glad because I don't want them next to my peppers lol. The plant was still very young so I was jumping up and down when it figured it out. Thank you btw the camera was blurry when taking the pic thru the app but I did it anyway cause I thought maybe it's the technology they use. The picture still worked"
banda arun,5,2021-11-30,Excellent app. Very useful to farmers and students
Dimitrios Sakellariou,5,2020-02-03,"This App has a great potential. The more it's used the better it works. Needs to enrich database and improve adjustments to local conditions, but it learns fast. Keep up the good work guys!"
Richard Corden,5,2022-03-04,Even better with the latest updates. Well done xarvio team
Jalde Ravikumar,5,2022-01-14,"It is very useful, accurate information I got from this app. Good experience."
Alex M,1,2019-08-07,"This app is terrible. If you are looking for an accurate scouting app do not download this! I downloaded it to help identify diseases in corn and soybean fields yet the algorithm has not been able to give any results at all! The weed ID is terrible, I used it on some simple weeds that were isolated in fields and the app got them wrong every time. It identified prickly sida as redroot pigweed and waterhemp as common purslane."
Salvador Gonzales :v,5,2020-07-22,"Very good developers that loves their users and loves plants, Pretty good app need improvements on the image recognition, But other than that not really enough for even a one star drop!. Good job."
vajja sunil,5,2022-02-08,Well explained and easy to use
Kothapalli Madhu,5,2022-02-09,Excellent app very useful for farmers
Shantha Kumari,5,2022-01-13,"Nice app, with great accuracy"
Rabin Ray,5,2021-12-29,This is a good atta but how can i get/purchased this atta direct from it
Prashanth Eltepu,5,2021-11-25,Very Useful App. Working Very Well....👍👍
SRIDHAR E,5,2021-11-25,Very excellent and good information
