names,stars,dates,reviews
P00Ps McG33,5,2018-12-05,"Great app, helped a lot with my first crop of maize silage. Can you include information for fodder turnips much appreciated."
Tom Redish,5,2021-03-09,"This is a great app for helping a grower understand why fertility recommendations are made, and illustrates why yeild goals and a good soil test are necessary to make an accurate recommendation."
Dave H,1,2021-04-26,bad app . how many crop varieties are there in the civilized world. umm come onn theres mayb 60 in this app without counting sub variety or Xrosses. get with IT ITS 2021 .
Umamaheshwar Dahagama,4,2018-11-01,"It's very much informative.. it should be further developed basing on a countries, regional, top cropping patterns needs"
Rolly Benosa,5,2020-01-30,Helped a lot in rice production. We doubled the yield per cropping.! 😍
Kyle Schmit,5,2021-02-13,Crashes 10 seconds after opening each time.
Tom Averwater,1,2020-05-16,I installed this app hoping to use it for my pumpkin produxtion . It doesn't even list pumpkins .
Hanson Farm,5,2021-07-26,Very easy to navigate.
Kristiyan Manev,5,2021-07-05,"Tnx, i needed that info."
Teo Baloš,4,2021-11-23,Great app but you should add kg/ha
David Hoff,1,2021-05-11,Rre
Harlan Jerabek,5,2021-02-28,Very useful
Were Royal Farms,5,2021-04-09,Excellent app
Malcolm Duncan,5,2021-09-23,Good
Riaz Ahmad,5,2019-10-24,excellent app
Riley Anderson,5,2017-12-12,I love the app I use it a lot. 1 question can you add micro nutrients under the oat tab?   Thank you for everything you guys do for us.  Riley Anderson
Stehan Cloete,5,2018-03-07,Great tool
Brice Susil,5,2018-03-06,Great app
fer,3,2016-07-11,"Some recent update has messed with the yield units. I can open up a crop, list the units will say ""cwt"" but when I email or save the crop, the units change to tons, but the nutrient numbers don't change. I'm sure there is a significant difference between 20 cwt and 20 tons for nutrient requirements. It makes reading actual requirements a bit difficult when you have to figure out what yield and units it's actually using."
Joey King,3,2017-04-18,"App is okay, doesn't include most nut crops. Doesn't include the standard weight measurements for most California crops. Could easily import western fertilizer handbook statistics. I'm uninstalling because it doesn't apply to me."
Mark Peck,5,2016-07-16,Fertilize needed With this I know just what to put on fields wish it gave micro nutrients for all crops
Justin Sangster,3,2016-07-11,No decimal point Why is there no decimal point for partial units like there used to be.
Ian dela cruz,3,2016-09-03,Nice..thanks for this app
ياسين الدواء,5,2016-04-13,Exellant
Ben Klink,3,2016-04-08,"Tons? Yield goal by the ton is stupid. Old version used bushels, much easier. Fix!!!"
Jeremy Shank,4,2015-07-23,"Needs more specialty crops I would give this 5-stars if it had more specialty crops.  Snap/Green Beans, Apples, Asparagus, Zucchini, Yellow Squash, Butternut Squash"
zeeshan hayder,4,2015-10-31,Status good It is very good software.. But it not depend on area and mention ton per how much area
J Bailie,5,2015-04-01,Awesome app for figuring crop needs! Definitely recommend! !
David Orwick,5,2015-03-01,Ag PHD Great app easy to use and it's free. Gotta love that!
Muhammad Yaseen,5,2014-11-22,Very Nice To get more yield
Ashish saxena,5,2014-08-23,Fantastic app for agriculturist. Very nice.
Dr. Ehsan Ullah,5,2015-01-04,Extremely helpful.
Andrew Brocklehurst,4,2014-03-28,Abab
Haldhar Sewa Kendra,5,2014-08-24,Best app
Geoff Bruckner,2,2013-11-24,Needs options for nutrients Conventions for nutrients naming/monitoring vary between countries. In Australia we generally track elemental P....not phosphate . It would been nice to been able to customise what is reported.
APPU GANAKUMAR,1,2016-09-28,Bad app It's not usè
Ravsaheb Parekar,4,2015-06-25,No see mi D
A Google user,2,2015-07-17,Its very imp I like sub
Rajesh Reddy,5,2016-05-11,Exllent Super
shrikant niwal,5,2015-08-07,Very good app Like it
jitendra patel,4,2014-12-27,Thank's
Sanjay Jagdale,5,2014-11-24,Xcellent
SWAJEET AUTOBOT,1,2015-06-20,Ok
Pawan Patidar,3,2014-11-23,Nice app
Prof.Harshvardhan Wagh,4,2015-07-25,Harsh
A Google user,1,2016-09-23,good good facts
Dustin Green,5,2019-10-22,Awesome
Mone Ta Wa Construction,5,2019-06-21,good
ashok varma,5,2016-03-17,Good
