names,stars,dates,reviews
Sam Foote,5,2022-03-07,"Excellent app for accurate measurements, very easy to pin exactly where you want to measure. I use the manual measuring tool a lot for measuring field boundaries and general yard measuring for building jobs etc. The GPS measuring tool isn't that great but I put that down to my phone's GPS quality rather than the app. Ads aren't too intrusive either."
Amir Hazrati,5,2022-02-21,"It's so useful app for me as a farmer. I was using it in my old phone and it did a great job, but the thing is my new phone doesn't allow this app to use GPS when the screen is off. This is a problem for me because the farmland is big and takes a good time to have a circle around it. Also while jogging I can't put it in my pocket with the screen still turned on."
Muhammad Maaz Ullah Khan Sumbal,5,2022-03-16,A Very Good Experience. Excellent app to track your movement and measure the distances covered. I needed to measure the area of my agricultural land and it helped me alright.
Diwansingh Bhati,5,2022-03-04,if you looking for an app that calculate distance and meassurs area accurate then you have to try this app. it helps properly for field and area measurements. but the price for premium upgrade is high. app management have to reduce price. i hope they consider that point.
Steve Mccullough,5,2022-03-22,"It allows you to measure a site, without having to physically go to a site, so I can give estimates to potential customers. Very convenient and time saving."
safdar mohammadi,5,2022-02-05,"It's one of the best applications for measure the area, distance and find the point, it's very useful and easy to work,but I don't know that, can I send the saved file to another computer or application for print the map? thank you"
Ken Carlson,3,2022-01-08,"This looks useful, but I have a few questions. 1. Is it possible to outline several areas on a single map, and print them all on the same map? Can the Pro version do this? 2. On Google Play, the Pro version is listed for $16.99, but in-app there is an option to upgrade to ""premium"" for $54.99 per year. Why the big discrepancy? What is the difference? 3. Is there an English website? There is a website link on Google Play, but it is not in English."
YOGENDRA VIKASH RAM,5,2022-03-13,This is the best ever app I have been using since 2018 to measure farms area and also used for navigation while fishing.Very simple and easy to use and works on any android device.No hesitation to rate 5 stars and recommended my friends to download and use and thumbs up frm them.
Brad West,1,2022-03-21,Do not waste your time or money you can get countless others for free that are exactly the same . no reason to be paying it's been a year now since I 1st downloaded this and I somehow accidentally paid the $55 for a full year subscription which I tried to cancel immediately and upon doing so really realized how much Of scam artist I was working with here they they refused to refund my money . It was not a half of a year later that is a lie and he knows it. I'll copy the emails and post here
Jeremy Cullen,3,2021-12-18,This is a great app I use it everyday. I would give it a 5 if they would update the map. My farm has changed so much in the last 3 years with new races and hedges being ripped out but with no change to the map it makes it difficult
Muhammad Asghar,5,2022-03-14,Very good app. It is best alternative of Costly GPS meter. But GPS meter is always best and accurate
Jacques Van Der Merwe,5,2021-12-20,"I love this app. You can stick to its simple settings or options or go into more skilled tweaking if the nodes, which ever suits you. It gives quick results."
Mzeewakazi,5,2022-03-11,"excellent app, only thing I would kindly ask is not to get into politics as your icon shows, very sad for all who are suffering from both sides"
Charles Powell,5,2022-03-14,Very nice and easy to use. Love being able to.move pins and fine tune.
Emma Lambie,5,2022-03-15,"Great app, awesome to work out lengths and area, accurate to about 1m on lengths"
Andreas Hatz,1,2019-07-14,"Downloaded this app to measure areas in a field. Got nothing out of it. All it did was show my position on the map, without recording any distances, areas or position points. No clear way of achieving either of these objectives. Not very intuitive user interface. So got nothing out of it except a few ads. Waste of my time. Definitely not going to take a chance with a paid version in case it is just as useless."
Edgar Quintana,5,2021-05-29,"Very accurate, easy to use, paid version eliminates ads and ads bonus features. I've accuracy check by measuring area with measuring wheel, the results are phenomenal spite three meter difference. I don't want to sound like a cookie cutter comment but highly recommended. I've already mentioned accuracy at the beginning. In my opinion it deserves two mentions. Very happy with app, I use it for material applied and billing on my line of work. It saves me time. Thank you !"
