names,stars,dates,reviews
Ninni Bontich,5,2020-06-18,"Great app, does what it is ment to do. Makes feeding cows very easy, I wouldn't be without the crop counculator for working out fodder beet during transition. I use it daily. Only upgrade would be to be able to add supplement to total kg/dm. But that can be calculated in a separate working anyway. I would recommend this app."
kiwiflyer new Zealand,5,2020-06-10,Awsome app the glitch has been fixed
Rob P,5,2022-03-15,Really really good 👌
Ksav Poudel,4,2020-04-11,It's quite handy.
Kc Hall,5,2022-02-02,Can I get paid and get Justice please
Matt Brooke,5,2016-05-08,Sweet as Very handy tool. Like the fact you can send results via txt to workers. Well thought out app thankyou
Worldwidekarma Jowett,4,2015-03-17,Great asset This is a very good app. I'm sure everyone who is involved in pasture management has something. I have found this very user friendly.
dylanhilhorst,5,2015-05-18,So handy use it all the time ... if in doubt get the grazing calculator out .. well done Louise
Farmer Farmerer,5,2016-08-13,The best 20plus years dairying and this makes my day to day even more pleasant.
Melanie Washer,5,2018-07-23,Love this app!
Jestone Refamonte,5,2016-07-07,Kauai Learner
patrick wambura,4,2015-08-01,Pasture plus
Gym_guys Lifts,5,2016-05-23,great app
Michael Grant,4,2015-06-24,Very handy app
peter blair,5,2014-09-01,"Great! Thanks heaps for creating such a useful app. My farm has all sorts of growth rates, paddock areas and grass types so it helps speed up the decision making. 5+"
Victor Calva,5,2014-02-19,Awesome..... Thanks very much...
Gareth Doran,5,2013-09-05,Great app Works well on Samsung galaxy S3.
Jeff McDonald,5,2013-09-04,Great app! Makes feed budgeting super fast and easy!
Pranesh Prasad,5,2016-02-23,Still installing
