names,stars,dates,reviews
ERIC KIRIMI,5,2022-02-21, Great helper in my agribusiness records. Able to harmonize all activities into a single accounting. Great!
Luke Asare-Ellis,5,2022-02-07, Very stable well designed. Developer very customer focused
Riaan Williams,1,2021-11-29," Helps alot, but the price is ridiculous. One gets a demo once downloaded and then you have to pay a monthley fee to get the full function of the app."
Mohammed Geidam,4,2021-12-28, What of a situation where one has more than one crop on the same field/Farm and wants to attach cost to each?
habib ahmed,5,2021-11-13," Uts a useful app, however account maintenance needs to be improved by making a single page entry for all expenses"
Allen Sperry,4,2021-08-27," Great concept, great UI. Would give 5 stars but it lacks the ability to add photos. Could also use a planning feature."
Mohamed Fouad,4,2021-09-21," Thanks for the great app, but I was wondering if you could open the date for tasks so we can schedule the tasks for the next wee with a reminder option, that would be great."
Joseph Matt Owori,5,2021-04-09, This app is wonderful. I have just installed it but so far everything looks good. Looking forward to see how it will better my crop management. Good work
Mawuli Lumor,5,2022-01-27, A very useful app for managing the farm
Moshe Ramahlo,5,2022-02-28," This app is amazing, as for even creating reports, it's super"
norman ogado,4,2022-03-06, Very elaborate and helpful
Victor Lawrence,5,2022-01-18, Great management app
vinay wasnikar,4,2021-11-06," Very good app , some more development needed in expance categories like Labor attendance and management manpower"
Michael Ndwiga,5,2021-06-18, This is an amazing app. Solves lots of farmers problem and it's easy to use.
Rose Namukasa,5,2021-04-11, Wonderful app. I love it. It will simplify the way I manage my crops.
Becky Kirwana,5,2021-04-08," I like this app. Its very simple to use, captures alot of details. Just on point."
Nahabwe Brian,5,2021-05-19, Very good app with ease of use and it captures most the information about crops and fields management
Fanuel Chilufya,3,2021-08-18, Good app but I think data backup should not only be available in the premium version.
James Zulu,4,2021-04-16, Hi it would have been nice to have notes section like my farmers wallet . Otherwise great stuff
nakayiza shamim,5,2021-07-11, The app is user friendly and scalable. Farmers problems solved.
njew john,5,2021-07-18, Good app with most basic features required to run a farm
Tractor records,5,2022-02-28, God bless you for saving my time ❤️
Inscript Ug,5,2021-04-09, All the crop apps I have tried nothing comes to close as great as this one 😊
dennis njoroge,5,2021-10-14, I am not able to attach expenses to the different farms I have within the app
George Macridis,3,2022-01-16, Was okay thanks nothing special
Bruno Weps,5,2021-04-09, It's simple and easy to use.
inkmedia ug,5,2021-04-09, Thank you for this. Am glad I found this app. Keep up the good work
Bruno Jay,5,2021-04-09," I love this app. Few of these, been looking for something exactly as this. Thank you"
Etiu Moses,1,2021-06-28, It's great this app will help me in a number of things regarding production.
mugume jackson,5,2021-07-08, It works absolutely well. I do recommend it
Turyatunga Roland,5,2021-07-09, It's a good app. it works well
Kirwana Fred,5,2021-04-08, Wonderful app. Thank you again Bivatec
Steven Lukyamuzi,5,2021-06-12, Great app . Thanks bivatec
ja ja,3,2021-09-16, Can enter historical activity but cant input future plans
Tushemereirwe Olivia,1,2021-07-26, This is a great app thank
Acerix,4,2021-08-13, Its useful to me thank you
Bhausaheb Shinde,5,2021-09-20, Very nice application
Katongole Derrick,5,2021-08-03, Its a promising applications to help farmers in Uganda
samuel kalyango,5,2022-03-15, Amazing app 💥💥💥💥
Gershom J Kasongo,5,2021-12-03, Very helpful
James Donkor,5,2022-01-28, Very useful
Mpho Muhlanga,5,2021-11-15, Exceptional app
Funsho Adebayo,5,2022-02-09, Great app
Moses Ndlangamandla,4,2021-09-07, Still learning
PATRICK BITAMAZIRE,4,2021-09-27, Its helpful
Byaruhanga Paul,5,2021-07-10, Wonderful app
Sharyn Proctor,5,2021-06-18, Great
Mohamad Ferdaus Azmy,4,2021-05-09, Nice app
LUBOWA SYRUS,5,2021-04-11, Excellent
Nabbona Betty,5,2021-04-11, Wonderful app
Wangai Ndegwa,4,2022-03-27," Dear support, i meant adding a feature that can help we farmers to generate an expense report for a given plant. For instance, i have planted Onion and tomatoes in Field A. It's not possible to get a report for each crop because the app at the moment gives me the option to generate report for the fi...Full ReviewDear support, i meant adding a feature that can help we farmers to generate an expense report for a given plant. For instance, i have planted Onion and tomatoes in Field A. It's not possible to get a report for each crop because the app at the moment gives me the option to generate report for the field."
Ebenezer Ankoma,5,2021-12-04, Boom
