names,stars,dates,reviews
Esmond Coen,5,2021-05-10,"Really nice app, but I have not found the place where I can insert my sample number - those ones generated is not very ""sample number friendly"". It would be great to add a sample number and have the app sequentially number further as one takes the soil samples in the field. The function to import or export soil sampling points seems not the available - it poses the question whether it is useful to have this great app but the the result of the app's functions stays with the app."
zweli biyela,5,2021-12-05,Excellent showing of places marvelous experience.
Josué Ghirghi,3,2021-01-09,"Really nice app, but I can't import or export soil sampling points"
A Google user,4,2019-03-21,hey I am having trouble cuz I have field Navigator with this and I can't get all my saved Fields transferred to soil sampler
Mehri M,5,2019-04-14,"nice app will be great if you add some agricultural info about each area,like climate,raining grade and what is good to plant"
amjid ali,5,2020-06-25,Can you please send a video how to use this app because i have a lot of difficulty in using this app
Tyler Janky,3,2019-12-17,Will this app save data points year over year? Can i share data points with other accounts?
Joel McIntyre,5,2020-11-30,please to be easy to use I'm just getting started. Says I can import shapefile. That's what I need
M.zaher Babaee,5,2020-01-11,It is very useful u can use it whenever u Want .
Marki Marki,5,2020-04-26,This app works for 10. Perfect 👌.
Antonie Odendaal,5,2020-10-22,Good and easy to use
yubaram budha,5,2021-10-30,"Good, useful & helpful"
A 3,5,2019-05-19,woiw this is more special app
Mamad Daneshmand,5,2019-12-20,It is a good app. I like it
Osmond Masa,5,2021-09-16,This is a good app.
Max Flinkenberg,3,2022-03-24,Can't figure out how to use it and no help or guide. The help is on the Google play store.
RONDLA SAIKUMAR,5,2021-04-22,Good
زين العابدين كريم,5,2022-03-04,Good
Aung Myo Thu,5,2021-02-12,Good app
Francois Enslin,5,2018-09-14,"After manually creating a field and setting grid sampling size, some of the grid points fall outside the field area. Moving the points to try and get them inside does not work."
Junior Peralta,5,2019-04-23,Muito eficiente!
Farshid Feyzi,5,2019-11-11,Kiiiiiiri bod haaaa9
Bill Graf,1,2019-12-19,Not useful
Birdhi Jat,5,2019-10-08,hfg
CBN CBN,5,2019-08-20,wow
5Zion33DirectorJamieGray CIAFBIDEADARPAZI4NZION,5,2021-04-09,Lll
K Zaw,5,2020-12-14,useful application
Safal Jung Rana,4,2019-05-17,👍
Usman Ahmad fagge,4,2019-09-08,Nice app
Rokhri Khan,5,2019-09-03,Best app
Tyler Geldenhuys,5,2020-05-05,Amazing
Sahr Nyendemoh,5,2020-05-17,Perfect
Mone Ta Wa Construction,5,2020-02-20,Good
Charles Kwakye,4,2020-03-22,Good
fatma kallushi,5,2019-11-10,Usefull
alireza sodagari,5,2019-07-13,helpful
Ryeko Moses Opio,4,2020-04-10,Great
Rajesh Chakraborty,4,2020-05-20,Nice
meshack oriama,5,2019-04-17,great
adel khattab,5,2018-11-04,Good
ULTRA HD VIDEOS,4,2019-06-16,good
Lewis Burroughs,5,2019-12-20,Good
N PRINCE MAGOMA,5,2019-11-04,Best
A Google user,3,2018-09-05,Unable to get shape files (.shp) to load.
thyago rodrigues de souza,5,2018-07-18,"work very well, easy to use, actually i tried to import some shape files from qgis in format of .shp and .shx but it dont find the files at folder, is there any other formart or im doing something ?"
William Orr Finavon,5,2018-04-17,Perfect app
Sameer Sultan,5,2018-08-21,Best for maps
nicholas mdaka,5,2018-06-10,Usefull
Freedom Lover,3,2018-05-31,I could not get it to set a point for the soil sample.
Abhay Rane,4,2017-11-02,Lets check out first
A Google user,5,2018-02-28,"The app is good,but I have a not count a fit distans"
Ivan Diarra,4,2018-03-04,Great app. Does as is described.
Dejan Jancic,5,2018-03-18,Nice application
pange zhang,5,2018-03-01,Handy toolsl
Bheemesh Patel,4,2018-01-02,Best Thanks
A Google user,4,2017-11-06,Good  Thanks
drayotn doll,4,2017-10-02,Not half bad but could use some improvement
Trey Deal,5,2017-09-26,"It's very easy and fast to use, I would recommend it"
Laimis L,4,2017-09-07,Location dont work
VASANTH BALU,5,2017-07-28,Nothing
madhusudhan reddy,5,2017-05-21,Excellent  app
srinu kota,1,2017-04-10,It gives latitude and longitude
Guillaume Nel,5,2017-09-24,Giellies Dis vrek kwaai
Charan N,5,2017-12-25,Good its working
پژمان خان,4,2020-07-11,ok
Birbahadur Moktan,5,2021-12-20,Uwj
Mohan Kumar P,4,2019-09-06,Great
Jimmy Zanchez,5,2021-06-14,Good
