names,stars,dates,reviews
Jake Petzold,1,2019-06-20,"Lower your price. Hundreds of comments saying it's a great app, but you set the price too high. We're willing to pay something, maybe like $5 a month for activities, rainfall, and heat units, and scale up from there with more features. You don't need to contact ME. Your company made an error in setting the prices too high The convenience of you aggregating free weather/soil data into a record keeping app is worth something....not $30. NDVI and some advanced marketing features may be worth 99/mo."
Craig DeVries,1,2020-01-23,"WAS a great app. free to use version had a great organized layout for tracking expenses and profits. all of the activities and business plan data is input and modified by the user, so basically a glorified spreadsheet design with better user interface. and NOW, after inputting and tracking my data for 3 years......... I am forced to pay or move my data elsewhere. STAY AWAY!!! zero warning or perks for users utilizing their services. terrible business move. Farm at Hand is much better!!!"
scott boedeker,2,2019-05-08,"when I first got the ap, it worked great. the rainfall totals were very close to the gauge totals. the previous ""update"" changed that, the totals were never even close. now, with the update on April 24th, it won't even open. when i try to open it hoping it is fixed, my phone locks up."
Janell K,1,2019-03-30,"I used to enjoy this free app for simple tracking of rain fall. Now, without warning, they have changed subscription levels for the people that have helped them build and design this app, and are charging at least $120 per year for access to data which was free a month ago. User beware, their greediness has taken over, and it's sure to only get worse. I will be finding another platform to track data on my own property"
kyle Lien,1,2019-05-23,"I found this app handy until I would have to pay $29/ month, so will be uninstalling. All i used was the rainfall tracking ( free information online) and logging activities (digital notepad or calendar would do). This app made it easy but Im not spending $29 a month or any amount for free information and a simple record of history."
Benjamin Dilworth,1,2019-06-14,"after last update, app won't open properly. It just keeps flashing across the screen of my Google pixel. I had to cancel my subscription because they jacked the price way up, and the free app is worthless. I will now be uninstalling this app and subscribing to FBN where you get so much more for your money."
Alex Reppucci,5,2019-11-23,Such a helpful and handy app. The company I work for uses it daily. We just upgraded to complete and having some app crashing issues but the support team is exceptional at helping with everything! Definitely recommend!
DellingerFarms LLC,5,2019-08-08,Our operation transitioned from multiple notebooks and spreadsheets to FarmLogs in 2017.  I love it.  Access to details any time.   The mobile app fits our hired help.  I prefer the web version.  We rely heavily on the activities.  Acreage reporting is a breeze now.  Product totals calculated from the rates and acres makes a good check against what we paid for. I'd suggest FL tweak the SprayLog report to meet Dicamba record requirements. That would be huge. Thanks for the excellent cust service!
Luke Berner,3,2019-02-23,"The app is good and easy to use, a little disappointed about the high cost of the new subscription coming at a time where funds are already short on the farm. Also need to add livestock"
Boyohboy,1,2020-10-27,"Too much money for what it offers. Missing a lot of chemicals in their application part, missing some very common fertilizers in our area, and have way more marketing garbage than a fellow ever needs. I wish I could find a app that would just let me track what I have done in each field."
Gregg Campbell,3,2018-11-09,"There is no cumulative function when tracking rainfall. Every new alert for rainfall changes all previous alerts to the most current alert, very awkward to track cumulative totals without writing them down, really?"
andrea king,3,2021-01-12,The free version is somewhat helpful but the cheapest paid plan being $65/month is ridiculous! It does not come close to being worth that much money for what you get.
A Google user,1,2019-03-14,"I use this app to track rainfall on the food plots we plant on our hunting property. Rainfall accuracy was only so-so compared to our rain gauge but at least the app showed you rainfall history. Now they're charging $29 per month for that - NFW! The free Lite version of this app is worthless, there is nothing in it. Goodbye FarmLogs!!!!"
Greg Outdoors,2,2019-05-07,"Understanding nothing is free, but 29.99/month!? I was grateful to find this app for tracking heat and rainfall actuals on our new homestead-to-be, given we haven't even established any type of yard or garden/beds, we were eager to make the most of this app for our micro-scale of future mini homestead, but again~ $360/yr. is far to rich for us/our minisucle needs. $30/yr for rainfall&heat historical data w/ current actuals, sold. Consider small scale homesteader version for annual sub option"
Jon Dorothy,1,2021-05-20,"Pointless, used to be good to track rain(ish never was very accurate) and manually enter field work. Now wants to charge an exhorbant amount of money with no options other than a lot of money or an extreme amount of money, no matter how many acres you are trying to manage (5 acres or 5000 acres) if it were to charge you something more understandable like $0.01 per acre per month for usable field data it would possibly be debatable but currently no absolutely worthless application. 0/5 🌟"
John Neidigh,4,2020-08-27,"Have a friend who swears by this app, but not what I need, and the LAST thing I'm gonna do is sign up for any ""free trial"" just to see more than how to draw a field! Not to mention there isn't even any home button to excape the freebie pitch page rabbit hole."
