names,stars,dates,reviews
Prashant Adhikari,5,2021-10-29,I love the design of your app. I just installed it and wow ... it looks absolutely good. Best experienced... But i think there is issue or you can call it bug ... your app is crashed after triple click to your home button. So fix it along with your version and serve the best result to your users. Thank you☺☺
Rihan Khan,1,2021-10-10,This is worst app. If you will order by agriapp then you will be wail only wait and if you will try to contact then they will not respond you. I wait for 2 week for 1 product. There is no option to give zero and also in minus rating otherwise I give rate in minus. I suggest to play store that play store should be option to rate in minus. Ok Thanks.
prashanth sj,5,2022-03-05,Good information and helpful for new young farmers..
vishwakarma sai shailesh,5,2021-10-20,It is really helpful for me. App as good features advanced technics. In this app I liked the drone order feature it helps and it save our time. Thank you so much for this app giving important features and update.
Anup Urs,5,2020-06-14,"Very good app. If we can download the package of practice in pdf like the previous version, it will be helpful to view in offline. Moreover the document reading is difficult in mobile, bcos it doesnt rotate in landscape and itis difficult to read in portrait without zoom. Hope you fix this issue to make it an excellent app. Thanks"
Asoka Ashoka,5,2021-10-24,"Thank you for this lovely app it consists of new technology like soil testing, crop advisory and crop practice.they launched new drone service that I impressed alot."
Swethana S,5,2021-10-20,"Smart.. Well advanced features , soil testing, Drone service crop care ,helpful for needies , saves a lots of times..👍🏻"
PK Yadav,5,2022-03-10,This app is a very good help full for farmers
Madhava Reddy,5,2020-06-01,"The app is so good ,it explains all things to farmers and I am very satisfaction with agricultural experts through chat. But I have one problem,that is when I am searching the product ,after reading matter. When we came back, it refreshes again and agian I have to search the product."
Radha shankar Surya Majeti,5,2022-02-23,Good and informative to farmers.
Teny Fernandez,1,2020-08-18,I enquired the status of my order with tracking id on their whatsapp. Whatsapp Customer care number not responding. They read the message but doesn't respond. I would have purchased a lot of products through this app since it had customer friendly interface. But the customer care is pathetic. I would like to cancel my order so that i can arrange from some other source. Thank you.
Sai shankar,2,2020-07-12,I just pressed a button EXPLORE them after the products price tags changed to USD. I am unable to bring it back to INR even after repress of EXPLORE button. I don't know what went wrong. So unable to place order and logged out. Unable retrieve to earlier INR version. Help me to restore or guide me how to overcome the issue
Faris Faaz,5,2020-08-31,"This app has the detailed description of the product, why and how to and by how much to be used. Also I was able to make purchases with ease. Please maintain the past order history. That would help farmers track their earlier orders and adjust next purchases"
MUTHUKUMAR MURUGAN,3,2022-01-27,Many products are fake don't waste your money on purchase in this app
ajay hiremath,1,2022-01-11,Not found any good seeds for farming only found unwaste offers
Hemanth Gowda.s,1,2022-02-24,Not able to login
Shahnawaz Saiyad,1,2021-10-28,"I am open my agri farm and click my crop then suddenly app closed,.. and I am purchasing crop map but no updates for maping.. so plz slove this problem"
Manjula S,5,2021-10-24,"Smart and digital work , good initiative keep going..👍"
Dilip A,5,2020-04-10,"This app has the detailed description of the product , why and how to and by how much to be used. Also I was able to make purchases with ease. Please maintain the past order history. That would help farmers track their earlier orders and adjust next purchases"
Arjun eluri,2,2020-07-26,"I have ordered one product in this app before one month, still status of the product is pending... Even I tried to chat with them so many everytime they'll ask for Oder id and they won't respond back...team please make sure whether you're going to deliver it to the address or not if you can't deliver the product...you have the option to cancel it..if you do that we can try in someother source"
Vanga Prasad,1,2022-01-11,"Not showing any market from ""Telangana"" no good this app...😏"
Mahesh Km,1,2022-03-11,"No use,not showing banglore market price for carrot also then what is use of this app"
Hasanur Sekh,5,2022-01-07,100% granted very nice apps
Bhagyashri Pawar,1,2019-09-24,The interface of the app should be eye catchy..right now it's not looking good..the functionality that you guys have implemented is good going but as per UI and also UX it's not looking good
vishal chib,1,2021-04-30,Asking to register but only accepting India no. I am living aboard and don't have access to my India contact no.?? My suggestion: when you are publishing your app on Intl platform then atleast give option for registering by mail or any country's telephone no. Don't bind to India only.
Indrajit Patil,1,2021-10-02,update new version app are not start and all prizes for material are very high new app to old app material
Jaganathan V,4,2022-02-23,"good one, but we r at the initial stage."
BENARD MUSYOKI,5,2022-03-16,The best app ever...keep informing farmers on this important venture
Sudhansu Suna,1,2020-03-19,App very slow and crashes multiple times. Navigation is not good. Kindly make necessary correction. Thanks.
Raj Singh,5,2020-04-26,"This app has the detailed description of the product , why and how to and by how much to be used . Also I was able to make purchases withease . Please maintain the past order history . That would help farmers track their earlier orders and adjust next purchases"
Ganapathi Hegde,1,2021-07-06,"App does not send OTP. I registered, but never got OTP. If I try to re-register, it says already registered. I don't see any option like ""forgot password'."
Viraj Kanu,5,2020-04-24,I usually use this app to get information about my crops. With expert I can get good information. So many other features like current market of different crops and many more.
Ramu Naydu,5,2020-04-17,"It is very beneficial to use and it can be cultivated with the help of many crops. In today's time, the use of Agri app is fallible to every farmer and many people are also happy to use this app.🎑"
BOADI JOSEPH,1,2021-08-01,OTP does not send. I can't login because I do not receive the verification code. And each time I try to re - register they keep telling me the number has been taken already.
Hitesh Goswami,5,2021-07-31,It's a nice app with amazing features like crope calendars package of practice also we can chat with experts wherever we stuck I think it's a best and most helpful app.
manu minhas,5,2020-08-31,"This app is really helpful for farmers It provides complete information about crop production, crop protection, smart farming and etc.. It really helps me. And I think it's really helpful for you too"
Damshid Kk,5,2020-08-31,It is a fantastic and awesome application. It gives the informations about crops and agriculture. It more useful for farmers and other related peoples. I like this application very much
rupinder singhkanwar,1,2020-09-26,"Order products and no courier details shared. Waiting for products to be delivered. No one is picking calls, called lot of times, very poor response."
Aashta Das,4,2020-04-25,"Nice app , have most of the information a farmer is looking for in majority. but i feel still few more sections could be added which can benefit a farmer in broader horizon."
Faizal Muhammad,5,2020-09-02,Really good application . Highly recommended. Here we can get everything about farming . Shortly agriapp is a cage of tricks and tips of smart farming.
Priya Bharti,5,2020-04-16,Best ag tech solution application in the playstore. I am happy and satisfied with their service. The application is useful and convenient to use.... thanks....
Gyan Bhai,5,2020-04-15,It's one of the best app for all farmers.. They will help you to buy solutions for best crop production. And you get these products at discounted prices from online...
Sonu Kumar,5,2020-04-10,I mostly happy and also impressed from this excellent application who provide us all over the best solutions to realeted of agriculture problems thus it is very very useful and also helpful application for the formers thanks a lot of 🤷‍♂🤷‍♂🤷‍♂🙏
