names,stars,dates,reviews
ashirbad samantaray,5,2022-03-11,The crop advisory service is very accurate. The details given about each crop is very precise and easily readable and understandable. UI is also very smooth and easy to understand. Good work! Thanks for all develolpers and it is very easy to use.
Hitanshu Panchal,5,2022-03-11,Special feature is weather forcasting. Farmers can get knowledge on free trial. There is no need to pay for suggestions. Cheapest service to increase yield with low investment. It is a good and very easy to use. Just loved it.
Babita Singh,5,2022-03-11,The feature related to satellite images is the best. Good update. Best agriculture app for Indian farmers. New UI is better. Helps in smart farming and crop management. Digital agriculture support is great. Agronomists are very supportive and helpful. Good knowledge for crops. Agriculture experts
Kavya Bittu,5,2022-03-14,This is a fabulous app which helps farmers with guidance to grow more and efficient and to maximize the yeild with minimal expences. This also helps with weather forcast and government policies which helps a lot planning and protecting our crops. The reports published on different crops on this app ...Full Review
Karan Das,5,2022-03-16,"शेती संबंधित ऐप' fantastic app I like this app actually it gives you proper information of crop.And it is very simply to use just remember sowing date of crops put that date and they suggeste proper information regarding which fertilizer and what kind of care we have to take. So overall it's best app, I ever seen and I recommend this app."
Fella Shifa,5,2022-03-20,I am very interesting for sharing my experience with this app . It have good looking style first of all . Best agriculture app for farmers and mothers . And i am rating this 5 star ⭐ . Super application for farmers
Black Goku,5,2022-03-10,Best app for agriculture and farmers. The weather prediction is accurate. New features of satellite imagery is very helpful.
Piyush Mote,5,2022-03-18,Very good and fine it makes easier for farmers . I haven't used app like this before i used it and i also suggested to my friends.
Khileshwar Sharma,5,2022-03-14,"Very Useful. Use referral code ""nsjg"" to install this app to earn 10 coins. This is very helpful app for farmers . Very nice app"
FF legends Gaming,5,2022-03-11,Inesct pest management is very good feature of this app and weather based advisory is again best feature of this app and not found any where in market. so please farmer download this app and take best service for your farming.
Anand kumar Pastor,5,2022-03-14,Sometimes the app works slow and also hangs and crash down. And please also update the important features of the app.
HARISH KUMAR,5,2022-03-09,This apk is really amazing and super It is very useful and helpful and it is useful to each and everyone मंडी भाव ऐप
