names,stars,dates,reviews
Roshin,5,2019-04-04,"Pricise, crisp and clear app on crop management. its a very useful app. content is very nicely packed. almost all common crops (kerala mostly) and its pest/disease/nutrient management and practices are covered. i strongly recommend this app."
Roopesh N,5,2021-07-04,It's awesome. Very useful. But need some photos to experience & identify the disease and pest attack on crops. Expecting an update regarding the above
Anand Vishnu Prakash,4,2020-12-27,The App is excellent and highly useful. One suggestion I have is to provide more Malayalam content and also photos of diseases and symptoms for cross checking.
Shammy Sukumar,5,2021-02-16,"Verymuch helpful and informative. Can improve by adding photos too,so that we can identify the problem more correctly by comparing symptoms."
Gopakumar S,2,2021-01-19,More of an ebook type rather an app. The app should be modified in such a way it encourage even a beginner to start farming.
Mary Giju,3,2021-01-30,There are a few mistakes in the contact addresses in Malayalam...The app is good
ANURANJ P. RAJESH,5,2021-01-25,"Very well set up app by Kerala Agricultural University. Very very informative and useful for whole farmers community, students, faculty and all fellow keralites and more. Very well executed. Farmers encyclopaedia as it is."
Neeraj Raveendran,4,2020-09-23,Finally update ചെയ്തു.. 😀😀👍👍.. using this for 3 years.. App ന്റെ colour കുറച്ച് better ആക്കാമായിരുന്നു... colour combination 😛😛 Updations ഇനിയും കൊണ്ടുവരാൻ ശ്രമിക്കുക.. 👍
Dennison Abraham,5,2020-12-28,Very informative....App helped to understand right dosage of pesticides and fertilizers...
Raju Thaliyil,5,2020-04-07,We are not able to change the language to Malayalam. Please help.
Ajmal Roshan,5,2021-11-10,"Very informative,crisp & clear"
HANESH MOHAMED,5,2020-09-19,Please add a search option. Also update changes.
sk samiul Islam,5,2019-08-03,very good & excellent service application
Abraham Mathew,4,2021-01-29,Very informative & educative.
Sonia Saeedi,5,2019-03-18,great info. wish it had pictures.
Akhila Menon,5,2021-01-29,Excellent app for agri related information
raju neendoor,5,2021-07-11,Very usefull to us and our nation
nandikesan kn,5,2021-07-31,"Yes, it is use full to me so much ."
Ben Keramati,5,2019-02-09,great app. comprehensive info
nishidha ct,4,2020-03-21,Nice app. Thank you KAU team
Jathin Media,4,2020-04-08,Cannot change the language.
sbkffw Sbkffw,1,2020-04-04,English language only?
529Aswn,5,2021-01-28,Very very useful...
narayanan nair,4,2021-07-03,Very useful app
Jins Joseph,5,2021-07-12,Very good application
Arun Mavatt,5,2021-02-05,Very Helpful. Great
Latheef chengara,5,2021-12-30,Do you know why this app does not work?
Kuriyan c a,5,2021-01-28,Ok it may help me
Plessey Mathews,4,2021-01-29,Thank you KAU
vijay g,5,2021-02-22,വളരെ ഉപകാരപ്രദം. കൂടുതൽ വിളകൾ ഉൾപ്പെടുത്തി വരും കാലങ്ങളിൽ അപ്ഡേറ്റ് ചെയ്യുമെന്ന് പ്രതീക്ഷിക്കുന്നു. പ്രഗത്ഭരായ കർഷകരുടേയും പാരമ്പര്യ കാർഷികവൃത്തി പരിജ്ഞാനമുള്ള വ്യക്തികളുടേയും അനുഭവങ്ങളും ഉപദേശങ്ങളും കൂടി ഉൾക്കൊള്ളിയ്ക്കണമെന്ന് ആഗഹിക്കുന്നു.
Ajit Nair,5,2021-02-27,ഒരു നല്ല അപ്ലിക്കേഷൻ തന്നെയാണ് ഇത്. അഞ്ച് വർഷത്തിൽ കൂടുതൽ ആയി ഇത് ഞാൻ ഉപയോഗിക്കുന്നു. അപ്ഡേറ്സ് ആയതിനു ശേഷം 👌ഒരു സാദാരണ ആളിന് നല്ല രീതിയിൽ കാര്യങ്ങൾ മനസിലാക്കാൻ സാധിക്കും. ഒരുപാടു നന്ദി
mehboob cmr,4,2021-07-23,"വളരെ നല്ല ഒരു അപ്ലിക്കേഷൻ, വിശദാംശങ്ങളുടെ കൂടെ കുറച്ച് ചിത്രങ്ങളും ഉൾപെട്ടിരുന്നെങ്കിൽ പൊളിച്ചേനെ ..."
Aneesh Rajan,5,2021-01-31,Pwoli app❤️❤️
Mech Mechorele,5,2021-02-23,നിസ്വാർത്ഥ സേവനങ്ങൾ 5 star അർഹിക്കുന്നു.💐
Vijay Raghavan,5,2020-11-10,Very useful
Suni Jose,5,2021-11-12,Helpfull app
Nithin Rao,5,2021-05-23,Very good
Pramod P. K,4,2021-01-29,Good
vivek g,5,2017-04-13,Sir everything is superb easily learn... If possible please attach 1 image for all symptoms n pests that will make more reliable ylto us
Philips Olatunji,3,2017-04-08,FEM@Mobile is a great agricultural application. Make on it and make it applicable to Nigeria farming climate too.  Looking forward to having this very soon.
Appu SD,5,2019-02-09,"Spr app..👌please update once in an year Include-farm guide contacts, converter (fertilizer,pesticide...),symptoms pic,many fruit crops are not there in this app.Ok once agian congratulates the team behind this app..good work👌👌👌"
sudheer karuturi,5,2017-01-04,Grate application for farmers Good data collection sir you did a grate job
P S Manoj,4,2016-10-02,Contact number of KVK CALICUT is 0496-2666041. Please correct it.
shameer mohamed,5,2016-09-16,very good useful for Agri officers
P Nikhil Kumar Reddy,5,2019-07-06,It is so good but it will be awesome if pictures and some more crops are added
Saifudheen K,2,2016-12-23,Malayalam vesion not available. Please add it.l
S S,5,2017-06-28,"App is superb, if you develop images it will become NO 1 app."
A Google user,3,2016-10-14,Malayalam version not available
Sanaagtoday press,2,2016-12-22,Osmaan Its very nice
msiva sai,4,2017-10-05,Please add plants image
A Google user,5,2017-08-07,It's good help for agri
Reynold George,5,2018-07-14,Awesome app to learn agriculture in a scientific way. THANK YOU
Arun S,5,2018-01-19,Good app for agriculture professionals
Salm Fari,5,2017-04-02,pls update with malayalam
Chennakesavareddy Appireddy,3,2016-12-22,Please add images to understand clearly Thank you.
A Google user,5,2017-05-01,It's ideal.
Joker,5,2020-12-08,Super app
A Google user,5,2016-11-30,Very nice Good useful for agriofficer
Rema Bhaskaran,5,2017-10-22,A guide
Nirbhay Singh,5,2017-02-02,Very good App for agriculture... like it
Vishnu Ar,5,2017-01-27,It is very helpful to all
Alen Joy,5,2018-08-18,With images it will be the best
A Google user,5,2016-10-16,Anas Good malyalam kittonnilla
Saji P Nair,4,2016-11-14,Good for Agri officers
pk abhin,5,2018-08-21,Good for access Thanks
Shine S.,5,2017-06-02,Extremely useful
Gigi Job,4,2019-12-09,Very good
vignesh kanagaraj,5,2018-03-12,super
A Google user,5,2016-11-15,very Useful .
M.P Unnikrishnan,5,2020-09-02,Excellent effort..
E G,5,2017-01-27,Useful information
Sujana sri,5,2018-08-10,good app
A Google user,5,2017-02-22,Best app
SREESESH C.A,4,2017-05-29,it is  very helpful
alan jolly sebastian,5,2018-12-09,Really useful
Saju Saji,5,2017-08-01,Nice
Varun Anand Pai,1,2016-01-08,If u add pictures of various crops and the crop enemies like white fly Lots will help a new generation farmers especially youth who don't know anything about agriculture... Hope u may update soon.  Thank u
Satheesh C M,4,2015-09-10,Best. But.... The Malayalees need such an application in this time of war between organic & toxic vegetables.... But it must be in the language of Malayalam.... And need attractive user interface...
simi T,4,2016-03-13,Quantity Pls add quantities of fertilizers needed for one pot or grow bag.It would be easier for kitchen gardners.
Bobypjohn,5,2016-01-26,Very informative app.also put search facility and market rate details
