names,stars,dates,reviews
Daniel Quarnyie,1,2019-12-18,"Hi, I'm using a OnePlus 5T and can't log in. Kindly work on it."
abebe belete,4,2019-04-20,"I hpoe, it will make easy to use and important for land use."
JOSEPH MURAGE,5,2019-02-07,Wonderful and useful App
Singye Dorji,5,2022-01-09,no beat
MIMI WALEED,1,2021-11-27,Not good
Abohamza Elbadry,5,2021-12-27,nise
Akona Gaston,1,2021-01-17,Very poor
Norbert Kyomushula,1,2019-09-06,Nice
ZEREAY KASSAHUN,5,2019-07-31,great
John Rulala,1,2018-09-03,I can't login that it was in old version...
Austin Riley,5,2018-04-19,It's a great tool!
Julius Anchang,5,2017-09-25,"Great app for crowdsourcing field data collection. Useful to soil scientists, agriculturalists,  ecologist, etc."
Norman Borlaug,5,2017-05-04,Great tool!
Dafa G Gumo,4,2016-12-14,"This  is an easy-to-use  and  excellent app which is continuously improving! May be due to poor internet connection here where I am, the server is sometimes down and not responding."
A Google user,5,2016-09-19,Good app This is very good app for scientist. I admire data mining and big data in back end services
Tran Huong,5,2017-04-01,"Good app but from users side-, the core value is prediction data not only how the app looks like or new feature"
Khalfani Shabani Machemba,5,2017-05-03,The app is easy to use!
ACTIF Thinkers,5,2018-03-29,It is a great app.
Anthony Ndiema,5,2017-11-08,Nice app for farmers
Apin Yasin,5,2017-07-25,It's amazing!!
