names,stars,dates,reviews
Bobby Basnet,5,2021-01-25,"This app is amazing, it allows you to view health status of the pants in farm anywhere in the world, using satellite data, for free. I never even knew such data and it's visualization of farms was possible. I love these visualizations and track random lands in random countries to compare the performance of farms in different regions."
rajina shrestha,5,2021-03-27,I used the app to get some advice on plants I was working on for my academic thesis. The answers I received from the experts on my problems were comprehensive and solution oriented. They were detailed enough for me to mention in my academic writing as well. Recommend this to everyone!
Aashutosh Bhandari,5,2021-03-17,This is what I would say Innovation actually is. I can easily check crop status remotely anywhere around the world. Kudos to the team.
quixotiae,5,2021-03-11,"Useful app! Interactive, easy to use UI. Heralds the future of smart farming in the developing world. Way to go!"
Saugat Shrestha,5,2021-03-09,Wow. This app is the epitome of smart agriculture. Simply amazing and user friendly too. Kudos to the team!
Rock Lee,2,2021-11-12,Fake app.. Useless Map not updated... Data are used from general weather
Suyam Baidya,5,2021-01-14,Great user experience and very useful product for any agriculturist. Highly recommended!!
Aadil Shakya,5,2021-01-15,It is a well-developed app that tracks crop. It is very useful for smart agriculture
Sworup Shrestha,5,2020-12-21,Best app for monitoring crop health by normal differential vegetation index satellite data visualization.
Prashant Shrestha,5,2021-03-16,Very useful app. Thank you PlantSat Team for bringing such innovation to the forefront.
Ashim Aryal,5,2020-10-27,"This is what i was waiting for, it is free and i am glad that someone made up with these kinda app"
Biplov Parajuli,5,2021-03-16,Great app.... Exactly what i needed and so simple to use..
Manjunath An,1,2021-08-27,Not working not getting any data
Akriti Shrestha,5,2021-03-08,Very useful app for farmers Good job👍🏼👍🏼
Saurav Bajracharya,5,2021-01-12,"Well made, beautiful and useful"
prabesh Rai,5,2021-07-26,Got good experience of precision agriculture wow just wow
suraj shrestha,5,2021-01-16,Loved it. Very useful app.🤩
Gaurav Thakur,5,2021-01-17,very much useful app
Aleja E,1,2021-10-15,No give any data
hamid rahimi,1,2021-03-17,Dont run with this app in iran
Hari Basnet,2,2022-01-07,F n. NBA. Y
Sandip Devkota,5,2021-05-28,Great
Sajesh Khadgi,5,2021-01-12,Very useful!
Aavash Aryal,5,2021-03-18,Superb app
