names,stars,dates,reviews
Njoroge Mbui,1,2019-11-07,"Downloaded it, but the app is unable to start up and crashes. Please fix this."
Francisco Ogalo,5,2019-05-08,"This App is absolutly smart and helpful, and how I wish you include more crops. However, am greatful for the app"
Rafael Quintana,5,2019-08-16,very useful app. The first and quick response to determining a deficiency
Puppet Girl,1,2020-08-10,downloaded but unable to start. how i wish i can to open it so i will learn more from your products and uses.
Ogega Omete,1,2019-11-27,Unable to rate it since it returned a message that it not available in my country
orpah chebet,2,2020-11-05,"I downloaded it, but am unable to open, it crushed"
Peter Juma,4,2020-11-20,"A great app , kindly add onion since its one of the most consumed crop in the world"
Belina Valino,1,2020-02-13,downloaded this app but can't open it what seems to be the problem?
Murali Marar,4,2020-07-27,Very Good App. Pls add more crops...... 😊😊😊
Basant Sharma,1,2021-06-01,Yara app simple interface not
Moses A.J,4,2020-06-09,This is one of the most useful agronomic apps I have ever used. Yara indeed grows knowledge
Marlon Dollente,1,2020-02-12,"Lack of crops, disappointing. No onion on list of crop or vegetables ."
Nana AbaDuku,5,2022-01-24,Very good app
sudin samad,5,2020-05-19,Its amazing and helping educate farmer about problem and solve
Dhanoa Kulwant,5,2019-05-05,very nice and helpful
Javed Khan,1,2019-12-30,Why this app is not open in my phone
Hem Singh,5,2019-08-04,this app is very helpful
RACHALA SHASHIDHAR REDDY,5,2021-07-15,Very good Application
Paritosh Patil,2,2019-07-17,please add pomogranate crop in list plz
Shiraz Mohammed,3,2021-04-23,Please add Pepper also
PC Tan,5,2018-10-03,Pls add Durian. Growing fast..
Jeffrey Bote,3,2020-12-01,Please include dragon fruit
lalaram Yadav,5,2020-12-25,.best app for farmers
Kilwa Joseph,5,2020-09-06,Good to me
Tom Chung,3,2019-04-15,Why no oil palm
mastafa hussain munjil,5,2019-12-03,thanks Yara CheckIT
Marydan Achas,5,2021-07-22,Good so far.
Moorthy K,4,2021-07-16,Good product
Chag-o Osmena,5,2021-11-20,Good
Ritchie Camacho,5,2020-12-14,Ma sorry kng nag ayaw tayo nag babago na ako penag sisihan ko na mali na ndi ako nag aral kasi iniisip ko lng c lola ma kokonin kna xa sa iloilo ma ha at ekaw dn ma
Manohar bagul,1,2021-01-20,No open
emegen disalan,5,2020-10-16,Has stopped
Rajat rock,1,2019-10-29,Not open
Teksingh Chauhan,3,2020-07-24,Good help
shaikh Mujeeb,5,2020-09-13,ok
Leandro Caparida,5,2021-03-02,Gud
हिम शाला,5,2019-10-24,Good
MANASSEH NDUGU,5,2019-06-20,great App
jagdeep maanshahia,5,2019-07-19,very good
Mhica Baker,5,2019-07-04,revolutionary!
Prashant Ghule,5,2019-08-08,great app
Arun Kumar,4,2019-03-22,app accha hai lekin is app me gindi language ka option nhi hai ye problem hai
pratik bhosale,5,2019-02-05,wonderful app
Uddhav palve,5,2019-05-10,nice
anilreddy dondeti,5,2018-09-08,Useful tool and a great app
Coenie Barnard,4,2018-09-04,Please add Blueberries. The industry is growing quickly.
anumukesh mukesh,5,2018-04-06,Pls add black pepper for coffee area
Ambri Mahesan,4,2017-12-27,Can you add lemons?
AKASH NAGARE,5,2017-11-25,Please ad onion
amar bande,4,2018-03-09,Very nice and informative app
nguyen luan,5,2017-08-24,Ung dung that huu ich cho ba con Nong dan!
pratik kuwar,4,2017-01-23,Nice 1....
A Google user,2,2016-12-27,Nic
SOMNATH BHATTACHARYYA,5,2017-02-15,This is best
A Google user,5,2016-09-25,Excellent app Very good and easy to understand information is available
Appayya Ramarao,2,2016-07-29,Language issue I downloaded it but unable to change the language to English. It'll be helpful if it is accessible in English. Pls advise
y Ashok,4,2016-02-23,Fine Informative but still can be improved
Mowlishwaran R,4,2014-11-27,Good approach The good basement for the future...
Ganesh Gare,5,2014-09-25,Ganu Very helpful for new young farmers
amit gavkare,5,2014-07-23,"The best for ever. I want to suggest to Yara to update always and provide large knowledge and  teqnical support in agricalture, and to Farmer...it will beneficial all over farmer of universe...thanks Yara...."
വിളക്ക് മാടം,4,2014-08-18,Good
Rahul Takate,1,2014-04-17,"unable to install on Moto G Seems some issue with app. Get error as ""Unknown error code during application install:960"". Please fix this issue"
keshav sargar,5,2014-04-16,Enjoy 2 your software  Excellent.
Chetan Khalkar,5,2014-02-23,Excellent ! Best of best !
Umesh Shinkar,5,2014-03-12,Nice Best of farmers
Golu Pawar,5,2014-03-12,Very Nice
Yvette Trayco,5,2014-03-21,Great
chetan gore,4,2014-02-02,Super It fram doctor  with no fee
amit talekar,1,2013-10-29,Download problem Could not download for Samsung S4
Rahul Jadhav,5,2013-11-18,Ekdam bhari. Very useful
Prajwal Zoting,5,2013-10-17,Rajehdra patil Vani
M W,5,2013-10-10,Good Very very good and useful application
Gaurav Gupta,1,2018-05-08,"Yara Is a chutiya company, and this is very selfish never support farmer 
and employees. And spoil our nation"
kaushik patel,5,2016-08-31,"Very nice Thanx Yara dedicate to all Farmer, Very nice app ."
Ian dela cruz,5,2017-09-01,It help me a lot in my job..thanks yara
Noah Winans,5,2014-02-18,Best app everywhere it's great So cool
A Google user,5,2018-06-16,Please provide app in marathi either local language
Madhu Reddy,3,2014-09-25,Agri app Very good
Baburao Patil,5,2017-07-31,New culture with Agriculture
Santosh Tandel,5,2014-11-10,Chan app aahe
Shaudin Mohd Sidek,3,2015-11-28,Why there's no brinjal
Hiteshwar v.miyan,5,2018-05-23,Yara sang bahaara..
farxod Xamraev,5,2017-01-30,Telegram agrology1
Krushi Rushi,4,2016-07-29,Plant doctor
Rahul Patidar,4,2017-08-24,Good 1.  Yara mila
Discover Ph,5,2015-08-01,Love to grow vegee
Ashok Kumar Bk,5,2017-03-17,Wonderful app and very useful...
MANOJ KUMAR JAIN,3,2016-10-07,Very good
Prakash Bhimani,5,2020-05-29,Waw
Aleena Sufiyan,1,2022-01-12,Ajam
Narhari Gaikwad,5,2022-03-14,NHS
Bhojpuri song FulKumar,5,2020-09-16,Fulkumar
VISHAL KUMAR,5,2017-06-09,excellent app
Koli Hardik,5,2016-05-18,Intrust Nice
Surekha Jamdade-Shinde,4,2020-05-22,Good
SANAS agro,1,2016-04-15,Good
A Google user,5,2018-04-30,Better for farmer
ABDUL KALAM,4,2018-10-23,Very good
Lachhman singh,5,2016-02-07,Good app
Bonn Lomboy,5,2021-04-16,Good
saiful azhar,5,2018-11-15,Great app
A Google user,5,2016-11-10,Knowledgeable information
jeremy minoti14,5,2020-10-19,Very accurate
A Google user,5,2017-12-06,Awesome application
Bala Murugan,5,2015-03-21,Good Good
Mokcha Patel,5,2017-03-24,Good
balasaheb jadhav,3,2015-08-15,Good
Akshay Desshmukh,5,2018-08-27,Good
Precious De saville,5,2020-09-04,Excellent
