names,stars,dates,reviews
VICTOR AMAIKE,2,2021-11-04,I was trying to register it's requesting for pin code. Pin code for what? It wasn't indicated. I put in a random pin but it didn't work. I don't know anything like geographical pin code
Sunder Negi,5,2022-01-21,Nice UI and simple login process
Sagar Gorade,1,2021-11-10,The Maharashtra state name is not given and other states are present. This app doesn't contain also one star.
Maheswaran S,2,2021-10-23,"If your motive is to spread this app to every farmers, then Please add English & other regional languages.... Coz farmers are belongs to all parts of our country.... There's only language in it that's only I give 2 star ⭐⭐"
Jeminatu Conteh,2,2022-03-09,I have been doing Agricultural farm work actives for quite a long time
Saty Prakash,5,2022-03-05,Nice app for farmers
Shani Creat's,1,2021-11-23,Can't log in worst app ever
Jitendra Kumar Nigam,5,2020-11-28,Excellent plateform which providing all agri info at one place. It just started but I think it will be game changer in 2021.
vinay sv,1,2021-11-22,90% content in Hindi.
Srikanth Vengadam,1,2021-09-28,"Simply Useless App. 90% content in Hindi language only. For name sake 10% English...,"
nagendra prasad,5,2021-07-11,"Very useful app for farmer, Student, and other related person ."
Tiya Middha,5,2021-08-27,"This app is very useful for farmers , agriculture students and agri professional's 😊😊 as well as this app is very interesting 😇🙏 and in this app we get solutions of any agriculture problem 😊😊"
ravindrakumar singh,5,2020-11-12,May be very useful application for progressive farmers & allied .sector agencies.
kuldeep Yadav,4,2021-07-15,"very useful App, very soon it will play a big role in Agri revolution......."
Chandar Singh,5,2021-11-24,Very good application
First Thought,5,2021-08-13,"Very good application for farmers.All agriculture related problems and solutions are available here,also market rate, valueable information about modern agriculture is available. I'll highly recommend this application to all farmers."
Neelesh Singh,5,2021-07-15,Useful app for agriculture professionals and farmers..Mandi rate and weather update options are awesome..
Ankita Singh,5,2021-07-17,Very good app for smart farming
PRADEEP SINGH,5,2021-09-23,"Great app for for benefit of farming community and bringing all the stakeholders namely farmers, researchers, scientists, extension workers etc. The market place features would also useful for enterpreneurs."
mian Masood,1,2022-03-24,Try many of time code not received just waiste time
gyaneshwar singh,5,2022-02-25,Very useful application for farmer
Vinod kumar,5,2021-09-15,Best' app for smart farming
vikal tiwari,5,2021-10-15,Fantastic application Great job team agri setu
ac awasthi,5,2021-08-26,Very good app for indian farmers
abhishek parmar,5,2021-07-31,Nice app for smart farming
Kissan Trading Corporation,5,2021-08-06,"Best app for Farmers , knowledge for स्मार्ट farming"
Abhishek Gupta,4,2021-02-05,Please add hindi font script . We are seeing question marks insted of hindi text after posting and post in hindi.
Jagat Singh,5,2021-10-07,Best farming app
Momraj Singh,5,2021-07-31,Best app for farmers
Ankush Dey,5,2020-12-02,Super app for agriculture social networking ❤️👍🥰🤩🙏
bhaskar b,4,2021-07-29,App not opening
Kakolo Bamu,1,2021-11-04,How can I get pincode
Satish Bhatt,5,2020-10-24,Very good App
gurdev singh,5,2021-10-07,Best aap for farmers
Aman Kumar,5,2021-07-22,Farmer centric app .. boon to future farmer
Ram Narayan,5,2020-12-13,Farmers to trying this app
Rogers Mkolwe,4,2022-03-12,"Okay,"
Massendi Morrish,4,2022-02-16,Perfect
Shangi George,5,2022-02-05,Good
SONU AGRO ENGINEERING,5,2022-01-09,Very good
Ghanendra Singh,5,2021-11-24,Excellent
Inder Bisht,5,2021-09-23,मुझे एग्री सेतु ऐप से जड़कर बहुत अच्छा लगा आशा करता हूँ भविष्य मैं ये ऐप मेरे लिए सहायक होगा
4.5 BAND WALE,1,2021-09-24,poor
Deepak Kumar Gupta,5,2021-08-13,"एग्रीसेतु ऐप किसानों के लिए बहुत ही अच्छी ऐप है। मैंने खेती-किसानी की कई ऐप यूज़ किया, लेकिन एग्रीसेतु सबसे अच्छा लगा। मुझे आशा है कि यह भारत का नंबर वन ऐप होगा।"
Sunder Negi,5,2020-12-29,Awesome app
Rita rani Das,5,2022-01-20,Business
Chishimba Nkole,5,2022-02-14,Cool 🇿🇲
